JGS,JGSCommunityOnly,JGS_StateOnly,JGS_CommunityOnlyStripped,CFDERRS_Code,CFDERRS,CFDERRS_StateOnly
ATLANTIC CITY_NJ,ATLANTIC CITY,NJ,ATLANTICCITY,330201,ATLANTIC CITY,NJ
ATLANTIC CITY_NJ,ATLANTIC CITY,NJ,ATLANTICCITY,330201,ATLANTIC CITY,NJ
BARNSTABLE_MA,BARNSTABLE,MA,BARNSTABLE,241201,BARNSTABLE,MA
BARNSTABLE_MA,BARNSTABLE,MA,BARNSTABLE,241201,BARNSTABLE,MA
BEAUFORT_NC,BEAUFORT,NC,BEAUFORT,360209,BEAUFORT,NC
BELFORD_NJ,BELFORD,NJ,BELFORD,331125,BELFORD,NJ
BELFORD_NJ,BELFORD,NJ,BELFORD,331125,BELFORD,NJ
BEVERLY_MA,BEVERLY,MA,BEVERLY,240407,BEVERLY,MA
BOOTHBAY HARBOR_ME,BOOTHBAY HARBOR,ME,BOOTHBAYHARBOR,224109,BOOTHBAY HARBOR,ME
BOSTON_MA,BOSTON,MA,BOSTON,240115,BOSTON,MA
CAPE MAY_NJ,CAPE MAY,NJ,CAPEMAY,330309,CAPE MAY,NJ
CAPE MAY_NJ,CAPE MAY,NJ,CAPEMAY,330309,CAPE MAY,NJ
CUNDYS HARBOR_ME,CUNDYS HARBOR,ME,CUNDYSHARBOR,220501,CUNDYS HARBOR,ME
CUTLER_ME,CUTLER,ME,CUTLER,225819,CUTLER,ME
DENNIS_MA,DENNIS,MA,DENNIS,240101,DENNIS,MA
DENNIS_MA,DENNIS,MA,DENNIS,240101,DENNIS,MA
EASTPORT_ME,EASTPORT,ME,EASTPORT,226819,EASTPORT,ME
ENGELHARD_NC,ENGELHARD,NC,ENGELHARD,360127,ENGELHARD,NC
ENGELHARD_NC,ENGELHARD,NC,ENGELHARD,360127,ENGELHARD,NC
FAIRHAVEN_MA,FAIRHAVEN,MA,FAIRHAVEN,242203,FAIRHAVEN,MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,240207,GLOUCESTER,MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,240207,GLOUCESTER,MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,240207,GLOUCESTER,MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,240207,GLOUCESTER,MA
GLOUCESTER_MA,GLOUCESTER,MA,GLOUCESTER,240207,GLOUCESTER,MA
HAMPTON_VA,HAMPTON,VA,HAMPTON,490118,HAMPTON,VA
HAMPTON_VA,HAMPTON,VA,HAMPTON,490118,HAMPTON,VA
HARPSWELL CENTER_ME,HARPSWELL CENTER,ME,HARPSWELLCENTER,221301,HARPSWELL CENTER,ME
HARWICHPORT_MA,HARWICHPORT,MA,HARWICHPORT,242901,HARWICH PORT,MA
JONESPORT_ME,JONESPORT,ME,JONESPORT,226019,JONESPORT,ME
KENNEBUNKPORT_ME,KENNEBUNKPORT,ME,KENNEBUNKPORT,226920,KENNEBUNKPORT,ME
LITTLE COMPTON_RI,LITTLE COMPTON,RI,LITTLECOMPTON,421805,LITTLE COMPTON,RI
LITTLE COMPTON_RI,LITTLE COMPTON,RI,LITTLECOMPTON,421805,LITTLE COMPTON,RI
LUBEC_ME,LUBEC,ME,LUBEC,227019,LUBEC,ME
MARBLEHEAD_MA,MARBLEHEAD,MA,MARBLEHEAD,243107,MARBLEHEAD,MA
MILBRIDGE_ME,MILBRIDGE,ME,MILBRIDGE,226119,MILBRIDGE,ME
MONTAUK_NY,MONTAUK,NY,MONTAUK,350635,MONTAUK,NY
MONTAUK_NY,MONTAUK,NY,MONTAUK,350635,MONTAUK,NY
MONTAUK_NY,MONTAUK,NY,MONTAUK,350635,MONTAUK,NY
MONTAUK_NY,MONTAUK,NY,MONTAUK,350635,MONTAUK,NY
MONTAUK_NY,MONTAUK,NY,MONTAUK,350635,MONTAUK,NY
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,240403,NEW BEDFORD,MA
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,240403,NEW BEDFORD,MA
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,240403,NEW BEDFORD,MA
NEW BEDFORD_MA,NEW BEDFORD,MA,NEWBEDFORD,240403,NEW BEDFORD,MA
NEWPORT NEWS_VA,NEWPORT NEWS,VA,NEWPORTNEWS,490910,NEWPORT NEWS,VA
NEWPORT_RI,NEWPORT,RI,NEWPORT,420105,NEWPORT,RI
NEWPORT_RI,NEWPORT,RI,NEWPORT,420105,NEWPORT,RI
OGUNQUIT_ME,OGUNQUIT,ME,OGUNQUIT,227420,OGUNQUIT,ME
ORIENTAL_NC,ORIENTAL,NC,ORIENTAL,360437,ORIENTAL,NC
OWLS HEAD_ME,OWLS HEAD,ME,OWLSHEAD,221807,OWLS HEAD,ME
PLYMOUTH_MA,PLYMOUTH,MA,PLYMOUTH,240513,PLYMOUTH,MA
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,330127,POINT PLEASANT,NJ
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,330127,POINT PLEASANT,NJ
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,330127,POINT PLEASANT,NJ
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,330127,POINT PLEASANT,NJ
POINT  PLEASANT_NJ,POINT  PLEASANT,NJ,POINTPLEASANT,330127,POINT PLEASANT,NJ
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,420209,POINT JUDITH,RI
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,420209,POINT JUDITH,RI
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,420209,POINT JUDITH,RI
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,420209,POINT JUDITH,RI
POINT JUDITH_RI,POINT JUDITH,RI,POINTJUDITH,420209,POINT JUDITH,RI
POINT LOOKOUT_NY,POINT LOOKOUT,NY,POINTLOOKOUT,351215,POINT LOOKOUT,NY
PORTLAND_ME,PORTLAND,ME,PORTLAND,220101,PORTLAND,ME
PORTLAND_ME,PORTLAND,ME,PORTLAND,220101,PORTLAND,ME
PORTLAND_ME,PORTLAND,ME,PORTLAND,220101,PORTLAND,ME
PORTSMOUTH_NH,PORTSMOUTH,NH,PORTSMOUTH,320201,PORTSMOUTH,NH
PORTSMOUTH_NH,PORTSMOUTH,NH,PORTSMOUTH,320201,PORTSMOUTH,NH
PORTSMOUTH_NH,PORTSMOUTH,NH,PORTSMOUTH,320201,PORTSMOUTH,NH
